suction_cup_diameter,plate_thickness,weight,vacuum_pressure,predictions
40,0.55,9.0,25,0
40,0.55,9.0,30,0
40,0.55,9.0,35,0
40,0.55,9.0,40,0
40,0.55,9.0,45,0
40,0.55,9.0,50,0
40,0.55,9.0,55,0
40,0.55,9.0,60,0
40,0.55,9.0,65,0
40,0.55,9.0,70,0
40,0.55,9.0,75,0
40,0.55,9.0,80,0
40,0.55,9.0,85,0
40,0.55,9.0,90,0
40,0.55,9.0,95,0
40,0.55,9.0,100,0
50,0.55,9.0,25,0
50,0.55,9.0,30,0
50,0.55,9.0,35,0
50,0.55,9.0,40,0
50,0.55,9.0,45,0
50,0.55,9.0,50,0
50,0.55,9.0,55,0
50,0.55,9.0,60,0
50,0.55,9.0,65,0
50,0.55,9.0,70,0
50,0.55,9.0,75,0
50,0.55,9.0,80,0
50,0.55,9.0,85,0
50,0.55,9.0,90,0
50,0.55,9.0,95,0
50,0.55,9.0,100,0
60,0.55,9.0,25,0
60,0.55,9.0,30,0
60,0.55,9.0,35,0
60,0.55,9.0,40,0
60,0.55,9.0,45,0
60,0.55,9.0,50,0
60,0.55,9.0,55,0
60,0.55,9.0,60,0
60,0.55,9.0,65,0
60,0.55,9.0,70,0
60,0.55,9.0,75,0
60,0.55,9.0,80,0
60,0.55,9.0,85,0
60,0.55,9.0,90,0
60,0.55,9.0,95,0
60,0.55,9.0,100,0
70,0.55,9.0,25,0
70,0.55,9.0,30,0
70,0.55,9.0,35,0
70,0.55,9.0,40,0
70,0.55,9.0,45,0
70,0.55,9.0,50,0
70,0.55,9.0,55,0
70,0.55,9.0,60,0
70,0.55,9.0,65,0
70,0.55,9.0,70,0
70,0.55,9.0,75,0
70,0.55,9.0,80,0
70,0.55,9.0,85,0
70,0.55,9.0,90,0
70,0.55,9.0,95,0
70,0.55,9.0,100,0
80,0.55,9.0,25,0
80,0.55,9.0,30,0
80,0.55,9.0,35,0
80,0.55,9.0,40,0
80,0.55,9.0,45,0
80,0.55,9.0,50,0
80,0.55,9.0,55,0
80,0.55,9.0,60,0
80,0.55,9.0,65,0
80,0.55,9.0,70,0
80,0.55,9.0,75,0
80,0.55,9.0,80,0
80,0.55,9.0,85,0
80,0.55,9.0,90,0
80,0.55,9.0,95,0
80,0.55,9.0,100,0
